"survey_id","site_code","country","ecoregion","area","program","latitude","longitude","survey_date","depth","number_individuals","total_biomass","sp_richness","sp_evenness","shannon","size_cwm_total","size_cwm_biomass"
912351371,"PPH-S12","Australia","Bassian","Victoria","RLS",-38.28,144.7,2019-02-08,5,263,25770.3581,93,0.753321032642605,4.19762082956381,15.3897338403042,22.9909634821877
912351372,"PPH31","Australia","Bassian","Victoria","RLS",-38.29,144.63,2019-02-08,13,78,18150.3808,52,0.876536622426945,3.81881483984415,20.7692307692308,29.0421722308989
912351373,"PPH-S1","Australia","Bassian","Victoria","RLS",-38.32,144.72,2019-02-04,3.3,10,1362.6772,9,0.939794000867204,2.16395565688206,15.75,21.488881592794
912351374,"PPH-S1","Australia","Bassian","Victoria","RLS",-38.32,144.72,2019-02-04,3.2,6,1130.7374,5,0.871049064255153,1.56071040904141,19.1666666666667,22.2161025185865
912351375,"PPH-S2","Australia","Bassian","Victoria","RLS",-38.3,144.66,2019-02-04,4.3,22,4313.2028,14,0.829219088735436,2.56315140641633,18.2954545454545,26.5304596273563
912351376,"PPH-S2","Australia","Bassian","Victoria","RLS",-38.3,144.66,2019-02-04,4.2,12,1681.8369,9,0.860528527174435,2.13833305950803,17.5,29.0704452375852
912351377,"PPH-S17","Australia","Bassian","Victoria","RLS",-38.28,144.64,2019-02-04,8.3,106,22423.4943,62,0.845819572668373,3.94442806174685,19.5754716981132,30.3600260910272
912351378,"PPH-S17","Australia","Bassian","Victoria","RLS",-38.28,144.64,2019-02-04,8.2,76,12563.8029,43,0.829640660810445,3.59295247022898,18.5526315789474,28.4952337361166
912351379,"PPH-S4","Australia","Bassian","Victoria","RLS",-38.31,144.8,2019-02-05,4.1,143,7891.9799,57,0.755711807368576,3.75048028522315,11.2237762237762,18.3491840875064
912351380,"PPH23","Australia","Bassian","Victoria","RLS",-38.31,144.71,2019-02-05,13.1,189,28950.3488,38,0.498306516090576,2.61199669330255,20.2645502645503,26.4098613986302
912351381,"PPH19","Australia","Bassian","Victoria","RLS",-38.32,144.71,2019-02-05,3.1,118,2102.1151,26,0.332613857626637,1.58679581646361,5.10593220338983,16.1160641251281
912351382,"PPH20","Australia","Bassian","Victoria","RLS",-38.31,144.7,2019-02-05,1.6,22,1229.5993,13,0.751654775966866,2.32339682278312,11.5909090909091,15.3073670015915
912351383,"PPH-S5","Australia","Bassian","Victoria","RLS",-38.28,144.66,2019-02-06,5.3,19,1846.5679,12,0.801760915059673,2.36073609027386,14.6052631578947,18.8570313336433
912351384,"PPH-S5","Australia","Bassian","Victoria","RLS",-38.28,144.66,2019-02-06,5.2,12,1085.7081,9,0.84298098188371,2.09472904752765,13.9583333333333,19.0919126881341
912351385,"PPH-S10","Australia","Bassian","Victoria","RLS",-38.29,144.62,2019-02-06,7.3,50,21557.1075,23,0.758537555897088,2.96741636915065,27.4,33.1797037473603
912351386,"PPH-S10","Australia","Bassian","Victoria","RLS",-38.29,144.62,2019-02-06,7.2,10,2521.7102,7,0.819382002601611,1.88669678465808,21.5,25.6460454892874
912351387,"PPH-S7","Australia","Bassian","Victoria","RLS",-38.29,144.62,2019-02-06,6.3,79,25875.2792,37,0.7699886721595,3.36442534999126,23.3544303797468,30.3070724063917
912351388,"PPH-S7","Australia","Bassian","Victoria","RLS",-38.29,144.62,2019-02-06,6.2,159,37128.9286,51,0.639521981456413,3.24167565921662,17.2012578616352,29.9297260425123
912351389,"PPH-S6","Australia","Bassian","Victoria","RLS",-38.28,144.63,2019-02-06,6.3,50,10105.1773,21,0.727159176737407,2.84466342800493,17.75,25.6007411666097
912351390,"PPH-S6","Australia","Bassian","Victoria","RLS",-38.28,144.63,2019-02-06,6.2,35,5783.2007,18,0.757783226167358,2.69418312418331,16.5714285714286,22.4785907481993
912351391,"PPH-S13","Australia","Bassian","Victoria","RLS",-38.3,144.61,2019-02-07,4.3,45,11946.1795,26,0.806112208917375,3.06859710823167,24.8888888888889,30.1000233170781
912351392,"PPH-S13","Australia","Bassian","Victoria","RLS",-38.3,144.61,2019-02-07,4.2,42,8458.1705,26,0.839875089373414,3.13917560470404,20.8333333333333,27.0784381799823
912351393,"PPH-S18","Australia","Bassian","Victoria","RLS",-38.29,144.61,2019-02-07,7.3,99,18010.489,44,0.776372473088206,3.5675245621857,18.6111111111111,25.9211980030081
912351394,"PPH-S18","Australia","Bassian","Victoria","RLS",-38.29,144.61,2019-02-07,7.2,65,14595.1321,40,0.854083930869555,3.5652770884443,20.8461538461538,26.1839519595715
912351395,"PPH-S11","Australia","Bassian","Victoria","RLS",-38.29,144.63,2019-02-07,7.3,54,12589.0748,25,0.763724435075219,3.04648458748636,23.1018518518519,29.9509688352952
912351396,"PPH-S11","Australia","Bassian","Victoria","RLS",-38.29,144.63,2019-02-07,7.2,23,3958.8671,16,0.858183251572101,2.69082862151159,20.6521739130435,26.6689139425772
912351397,"PPH40","Australia","Bassian","Victoria","RLS",-38.27,144.65,2019-02-08,6.1,38,5410.0648,27,0.875866347947286,3.18603930506314,13.9473684210526,25.8958715707065
912351398,"PPH-S12","Australia","Bassian","Victoria","RLS",-38.28,144.7,2019-02-08,5.1,232,39190.0414,73,0.724410922820614,3.94567604577032,20.4956896551724,28.9302785924079
912351399,"PPH31","Australia","Bassian","Victoria","RLS",-38.29,144.63,2019-02-08,13.1,56,14532.6374,35,0.85391131577982,3.43729335871217,24.7767857142857,29.1486897106509
912351433,"PPH33","Australia","Bassian","Victoria","RLS",-38.29,144.62,2019-02-28,2,22,3101.1181,17,0.877685186790413,2.71296217305289,13.5227272727273,23.9779881327319
912351434,"PPH19","Australia","Bassian","Victoria","RLS",-38.32,144.71,2019-02-28,3,349,5251.5166,31,0.145404587251521,0.851354316175811,6.12464183381089,26.7128476752792
912351435,"VIC9","Australia","Cape Howe","Victoria","RLS",-37.89,147.97,2019-03-05,7,996,56074.5235,113,0.508123142380372,3.50795375072376,10.6375502008032,20.0316321412878
912351436,"TAS355","Australia","Bassian","Tasmania","RLS",-40.85,145.5,2019-03-22,8,299,7457.1652,28,0.375242102237544,2.13904643016562,7.52508361204013,19.0470040478653
912351437,"TAS356","Australia","Bassian","Tasmania","RLS",-40.85,145.5,2019-03-22,6,325,9178.5344,31,0.377588654258256,2.1839067670609,8.46153846153846,21.1918138041734
912351438,"TAS351","Australia","Bassian","Tasmania","RLS",-40.89,145.54,2019-03-24,10,451,12191.9703,44,0.376189578649228,2.29907032337603,8.95787139689579,16.8338647035582
912351439,"RC-S5","Australia","Bassian","Tasmania","RLS",-40.86,145.52,2019-03-24,3,38,1726.3846,25,0.851522136477556,3.0974851383514,10.6578947368421,15.4873559170998
912351440,"RC-S5","Australia","Bassian","Tasmania","RLS",-40.86,145.52,2019-03-24,6,279,5948.095,39,0.386292455432519,2.17529462626031,7.78673835125448,17.5591165742982
912351442,"TAS343","Australia","Bassian","Tasmania","RLS",-40.9,145.58,2019-03-22,6,420,3970.343,27,0.210223384359262,1.26980278779671,5.79761904761905,16.1657698717718
912351443,"TAS343","Australia","Bassian","Tasmania","RLS",-40.9,145.58,2019-03-22,4,63,5101.1928,24,0.598702757916655,2.48050618711087,10.9126984126984,21.879935022256
912351444,"TAS348","Australia","Bassian","Tasmania","RLS",-40.9,145.54,2019-03-24,5,103,4038.0089,26,0.459030873598916,2.12748369636127,7.76699029126214,21.739797242646
912351445,"TAS346","Australia","Bassian","Tasmania","RLS",-40.9,145.55,2019-03-24,5,107,7340.8375,39,0.576141028406295,2.69220841025347,9.18224299065421,21.9452451440316
912351446,"TAS352","Australia","Bassian","Tasmania","RLS",-40.86,145.51,2019-03-25,3,289,4848.6863,33,0.151153168685966,0.856498349034921,4.05709342560554,22.7288902460033
912351447,"TAS352","Australia","Bassian","Tasmania","RLS",-40.86,145.51,2019-03-25,4,920,7025.2741,30,0.157650883305778,1.07586853709099,4.17663043478261,15.0752040407932
912351660,"PPB23","Australia","Bassian","Victoria","RLS",-38.14,144.71,2019-04-20,3,92,5854.6678,43,0.760056741935124,3.43681589359136,10.9239130434783,27.348014049576
912351661,"PPH38","Australia","Bassian","Victoria","RLS",-38.28,144.62,2019-04-17,3,210,28962.896,68,0.714712553004534,3.82164487446885,14.3809523809524,26.2407373817176
912351662,"PPH19","Australia","Bassian","Victoria","RLS",-38.32,144.71,2019-04-18,3,378,9133.4766,49,0.35364063531916,2.0988197538909,5.62830687830688,20.6167484460408
912351663,"WA18","Australia","Leeuwin","Western Australia","RLS",-33.59,115.23,2019-03-30,19,2767,51793.7076,87,0.328335717230364,2.6022309586512,8.51734730755331,18.2584527169474
912351664,"WA97","Australia","Leeuwin","Western Australia","RLS",-33.59,115.21,2019-03-31,17.5,2562,48221.1842,99,0.374688442679358,2.94075853474292,7.19555035128806,16.2308742616902
912351665,"WA98","Australia","Leeuwin","Western Australia","RLS",-33.59,115.24,2019-03-30,17,1381,20087.8425,64,0.286131375632092,2.06889098167972,8.26393917451122,14.1785497870167
912351666,"WA99","Australia","Leeuwin","Western Australia","RLS",-33.59,115.2,2019-03-31,18.5,4200,33951.3248,84,0.269811948555934,2.25099786408049,7.41130952380952,11.0765098848219
912351667,"WA18","Australia","Leeuwin","Western Australia","RLS",-33.59,115.23,2019-03-30,18.5,5000,41472.1157,65,0.226553132814681,1.92959680030322,4.8735,24.1231449098701
912351668,"WA97","Australia","Leeuwin","Western Australia","RLS",-33.59,115.21,2019-03-31,18,3437,26514.8427,72,0.267473408361593,2.17786325051662,4.79633401221996,21.035861123551
912351669,"WA98","Australia","Leeuwin","Western Australia","RLS",-33.59,115.24,2019-03-30,18,4179,43736.6332,62,0.228406993865283,1.90441806038373,5.29791816223977,17.9578093416207
912351670,"WA99","Australia","Leeuwin","Western Australia","RLS",-33.59,115.2,2019-03-31,17.5,4730,31401.1804,72,0.249915401747142,2.11470427698652,5.05972515856237,15.5571115489022
912351671,"WA18","Australia","Leeuwin","Western Australia","RLS",-33.59,115.23,2019-03-30,18,3279,57411.2076,86,0.164557928683277,1.33214477600018,6.80466605672461,27.4088057895163
912351672,"WA98","Australia","Leeuwin","Western Australia","RLS",-33.59,115.24,2019-03-30,16.6,5189,39365.0281,93,0.113036461343944,0.966947380707394,5.41722875313162,24.376359291866
912351673,"WA99","Australia","Leeuwin","Western Australia","RLS",-33.59,115.2,2019-03-31,17,4363,16297.9158,61,0.0779054621663033,0.652919069938779,5.22175108870044,17.9524415784502
912351676,"PS35","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.69,152.22,2019-05-10,6.7,3767,161694.7514,126,0.284113853219195,2.33940318628605,11.6697637377223,16.8901631985811
912351677,"PS35","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.69,152.22,2019-05-10,6,2180,112787.2,112,0.273081105695356,2.09919634851009,11.7878440366972,17.5566857498014
912351678,"PS4","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.74,152.19,2019-05-10,5,2931,100485.0578,105,0.3200326798837,2.55485254777244,10.8793926987376,14.2080634549827
912351679,"PS20","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.71,152.16,2019-05-10,8,226,17320.6489,75,0.691396965903446,3.7477414520703,12.8318584070796,23.0613424217611
912351680,"PS27","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.79,152.11,2019-05-11,5.1,322,12828.0462,96,0.687741206275349,3.97139704563189,10.1552795031056,17.3323389652276
912351681,"PS10","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.75,152.17,2019-05-11,6.5,481,21335.2181,54,0.336042588690519,2.07535442485539,12.5467775467775,13.7360703029326
912351682,"PS17","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.71,152.15,2019-05-12,11,1446,147152.5046,161,0.555123603048964,4.03938820806622,15.167704011065,25.5605298579471
912351683,"PS7","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.71,152.16,2019-05-05,5.5,337,20777.5339,99,0.676565709167557,3.93766853518784,13.2492581602374,17.9129039226354
912351684,"PS3","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.69,152.22,2019-05-10,5.5,5156,406000.6645,132,0.290482698327582,2.48302181051037,15.2075252133437,20.657841040307
912351685,"PS4","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.74,152.19,2019-05-10,7.5,3002,141155.231,129,0.387091137722524,3.09945190556289,11.3824117255163,19.0168199753079
912351686,"PS20","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.71,152.16,2019-05-10,15,251,37958.1573,63,0.621807074163413,3.43576572550917,16.1852589641434,31.713015636826
912351687,"PS29","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.79,152.11,2019-05-11,5,165,9156.5758,58,0.652360814495202,3.33091874812187,11.5606060606061,19.5877841419715
912351688,"PS17","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.71,152.15,2019-05-12,8,812,41388.8822,126,0.497256073040693,3.33136723048358,11.2900246305419,16.1771978345431
912351689,"PS7","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.71,152.16,2019-05-05,9,431,29702.0453,94,0.621905417033559,3.77254548154661,13.4106728538283,19.4456556498485
912351690,"PS27","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.79,152.11,2019-05-10,5,434,8906.5379,40,0.334470509510277,2.03125429959917,9.41244239631336,11.0480470475514
912351691,"PS20","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.71,152.16,2019-05-10,10,429,39348.9571,84,0.558519785324621,3.38544361711412,9.94172494172494,45.8492743191407
912351692,"PS10","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.75,152.17,2019-05-11,5,144,6220.3866,41,0.597744522550965,2.97067867792249,9.80902777777778,17.0873789420098
912351693,"PS7","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.71,152.16,2019-05-11,9,518,49701.3898,62,0.429324849046856,2.68326967742964,14.9758687258687,19.2586156866382
912351694,"PS13","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.72,152.14,2019-05-12,8,99,4769.1456,39,0.711154312721683,3.26783929889623,11.6919191919192,15.3138025918102
912351695,"PS3","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.69,152.22,2019-05-10,6,10659,436018.6482,113,0.22583928903208,2.09446967472803,12.2251149263533,14.117902690429
912351696,"PS4","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.74,152.19,2019-05-10,6,5123,279508.1095,97,0.277769024046814,2.37256286447406,12.9313878586766,13.9704489146495
912351697,"PS13","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.72,152.14,2019-05-12,8.2,231,38993.2354,74,0.677464922952772,3.68704709493545,15.2272727272727,40.5433276767795
912351698,"PS29","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.79,152.11,2019-05-11,4.5,113,2872.7162,45,0.666801090193572,3.1522273512852,8.96017699115044,12.7068182022297
912351699,"JBMP43","Australia","Cape Howe","New South Wales","RLS",-35.11,150.77,2019-03-28,6,2490,133716.3415,80,0.400836182139417,3.13455417187985,11.0602409638554,NA
912351700,"JBMP-S16","Australia","Cape Howe","New South Wales","RLS",-35.12,150.76,2019-03-28,5,1451,120711.3513,105,0.50564450704629,3.68109618432255,13.8645761543763,22.3150363158929
912351701,"JBMP-S2","Australia","Cape Howe","New South Wales","RLS",-35.08,150.8,2019-03-29,10,3947,53488.1116,71,0.284282412754901,2.35406052391567,6.71712693184697,27.6952372394093
912351702,"JBMP-S3","Australia","Cape Howe","New South Wales","RLS",-35.08,150.79,2019-03-29,10,4929,96793.9599,76,0.241455920733609,2.05307347350394,7.8793872996551,NA
912351703,"JBMP-S15","Australia","Cape Howe","New South Wales","RLS",-35.11,150.77,2019-04-01,8,1611,75843.5011,75,0.450114118744691,3.3239173948966,11.0350713842334,NA
912351704,"SYD47","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.81,151.31,2019-03-02,7,1643,32038.8181,91,0.381118488254366,2.82190766407973,8.37340231284236,18.3499084739958
912351705,"SYD41","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.82,151.29,2019-03-02,6,983,11827.3915,54,0.422930939311167,2.91425178760994,6.04526958290946,13.4911230849169
912351706,"SYD39","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.82,151.3,2019-03-03,8,1037,44462.7509,44,0.452499720779565,3.14219752279281,8.51494696239151,42.2258256517367
912351707,"SYD42","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.82,151.29,2019-03-03,3,706,19102.934,58,0.472134461236301,3.0970204060713,6.61118980169972,43.4828880736331
912351708,"SYD38","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.83,151.27,2019-03-03,3,946,24179.665,59,0.467366911265474,3.20251144473958,8.93498942917548,13.5680568775457
912351709,"SYD23","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.92,151.26,2019-03-09,5,288,11127.798,74,0.611356286889714,3.46208649193911,7.97743055555556,33.3276651184718
912351710,"SYD24","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.92,151.27,2019-03-09,6,387,18506.7194,70,0.535840211382639,3.19276354702061,8.2687338501292,34.4838711257491
912351711,"SYD14","Australia","Manning-Hawkesbury","New South Wales","RLS",-34.07,151.13,2019-03-05,6,923,76315.9318,139,0.569821191436112,3.89052782508844,12.8466955579632,27.2095117791643
912351712,"SYD47","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.81,151.31,2019-03-02,8,2440,15007.7592,90,0.336758717118249,2.62663492130522,5.52561475409836,10.5235353356416
912351713,"SYD39","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.82,151.3,2019-03-03,9,1692,29135.9639,64,0.42994543412456,3.19607098774896,6.49527186761229,24.9571999830079
912351714,"SYD42","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.82,151.29,2019-03-03,5,2441,22109.2454,122,0.424559842411238,3.31163600394799,6.10610405571487,11.8519442323436
912351715,"SYD38","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.83,151.27,2019-03-03,6,937,12786.8373,91,0.523788297212936,3.58411742477109,6.7982924226254,11.7030122452563
912351716,"SYD24","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.92,151.27,2019-03-09,5,726,16574.6374,57,0.423902285328611,2.79247750600076,7.07644628099174,35.4104310601691
912351717,"SYD23","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.92,151.26,2019-03-09,7,105,5403.9712,43,0.678524319063209,3.15782527753781,10.3571428571429,24.2461882938976
912351718,"SYD31","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.84,151.28,2019-03-02,6,200,4767.3542,34,0.536852489886813,2.84441487044185,9.3,12.0437385374051
912351719,"SYD35","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.84,151.28,2019-03-02,4,570,19725.5088,62,0.532273831468156,3.37761617888188,9.83771929824561,14.3215339646904
912351720,"SYD31","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.84,151.28,2019-03-02,5,1118,26958.6374,82,0.428746483108011,3.00949875417215,6.90966010733453,21.9828731403168
912351721,"SYD39","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.82,151.3,2019-03-03,10,1626,25935.5307,58,0.320437326252078,2.36927458991541,5.28444034440344,23.8966101530361
912351722,"SYD42","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.82,151.29,2019-03-03,4,1378,25422.6475,66,0.374214990290665,2.70497131422277,7.1044992743106,21.7014454336434
912351723,"SYD38","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.83,151.27,2019-03-03,4,1682,29750.823,58,0.355016512467431,2.63696993868487,7.49554102259215,14.3698457266207
912351724,"SYD23","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.92,151.26,2019-03-09,6,330,9109.8159,64,0.55310021774172,3.20747940988652,7.21212121212121,24.9833623421523
912351725,"SYD24","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.92,151.27,2019-03-09,7,479,18245.3797,77,0.564756538968401,3.485508268943,8.58559498956159,21.0724384787673
912351726,"SYD47","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.81,151.31,2019-03-02,6,857,28415.8808,43,0.416613416155021,2.81357284205787,9.08693115519253,16.1337483070382
912351727,"SYD41","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.82,151.29,2019-03-02,5,620,36993.7757,57,0.476600865359655,3.06440986725328,9.63709677419355,27.1481553584702
912351728,"SYD24","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.92,151.27,2019-03-09,5.5,278,29195.6883,46,0.526566696654957,2.96331785986177,9.86510791366906,59.7832560090731
912351729,"SYD23","Australia","Manning-Hawkesbury","New South Wales","RLS",-33.92,151.26,2019-03-09,5.5,126,11136.5468,54,0.745795690543461,3.60687820445772,12.202380952381,27.5152917015533
912351847,"GBR148","Australia","Central and Southern Great Barrier Reef","Queensland","RLS",-20.04,148.88,2019-05-03,5,1004,22826.7835,108,0.460162858592039,3.18052939554962,5.49302788844621,NA
912351848,"GBR148","Australia","Central and Southern Great Barrier Reef","Queensland","RLS",-20.04,148.88,2019-05-03,7,490,34064.0311,124,0.705540785479078,4.37040564521582,9.73979591836735,NA
912351849,"GBR131","Australia","Central and Southern Great Barrier Reef","Queensland","RLS",-20.05,148.88,2019-05-04,4,1530,36195.8181,101,0.377554815171644,2.7686181488461,5.18300653594771,22.3108379266057
912351850,"GBR131","Australia","Central and Southern Great Barrier Reef","Queensland","RLS",-20.05,148.88,2019-05-04,5,1365,7460.8335,92,0.362606148864366,2.61762104807933,3.5018315018315,NA
912351851,"GBR132","Australia","Central and Southern Great Barrier Reef","Queensland","RLS",-20.04,148.88,2019-05-04,3.5,947,45127.4853,125,0.573122761353835,3.92778170067054,7.92502639915523,24.9924670630827
912351852,"GBR132","Australia","Central and Southern Great Barrier Reef","Queensland","RLS",-20.04,148.88,2019-05-04,2.5,668,20775.6742,69,0.414773554594393,2.69780672584407,6.43712574850299,26.7967480448841
912351853,"CS5","Australia","Coral Sea","Queensland","RLS",-19.25,152.35,2019-05-06,4,430,4616.111,74,0.498722180271559,3.02414417997511,5.46511627906977,10.9892508542364
912351854,"CS5","Australia","Coral Sea","Queensland","RLS",-19.25,152.35,2019-05-06,4.5,361,4044.8796,69,0.506507912551705,2.98276328194693,5.48476454293629,14.5043455681598
912351855,"CS4","Australia","Coral Sea","Queensland","RLS",-19.23,152.33,2019-05-06,10,306,22649.4653,78,0.659343916250521,3.77381101611442,11.0457516339869,NA
912351856,"CS4","Australia","Coral Sea","Queensland","RLS",-19.23,152.33,2019-05-06,6,283,9542.7942,73,0.631428606256413,3.56469666627346,7.5,NA
912351857,"CS6","Australia","Coral Sea","Queensland","RLS",-19.26,152.34,2019-05-06,4,745,97468.8632,97,0.591049581383133,3.90883797379906,10.5469798657718,41.7836187762165
